Code,Scheme Name,NAV,ISIN Div Payout,ISIN Growth,ISIN Div Reinvestment
103885,Aditya Birla Sun Life Liquid Fund -Regular - IDCW,145.05540,INF209KA1LI1,N/A,N/A
133402,JM Aggressive Hybrid Fund (Direct) - Half Yearly IDCW,98.46450,INF192K01HH5INF192K01HI3,N/A,N/A
,,N/A,,N/A,N/A
148415,JM Liquid Fund - Withheld Brokerage I.E.F. (Direct) - Growth Plan,41.44370,,N/A,N/A
133405,JM Aggressive Hybrid Fund (Regular) - Quarterly IDCW,31.29530,INF192K01HP8INF192K01HQ6,N/A,N/A
119757,Kotak Gilt-Investment  Provident Fund and Trust-Growth - Direct,107.02810,INF174K01KM7,N/A,N/A
,,N/A,,N/A,N/A
134876,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Monthly)-Direct Plan-IDCW Reinvestment,38.40720,INF767K01DQ4,N/A,N/A
100249,JM G-Sec Fund - Quarterly Dividend Option,27.76980,INF192K01783INF192K01791,N/A,N/A
131477,JM Aggressive Hybrid Fund (Direct) - Annual IDCW,46.17140,INF192K01HJ1INF192K01HK9,N/A,N/A
,,N/A,,N/A,N/A
100033,Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,851.15000,INF209K01165,N/A,N/A
100047,Aditya Birla Sun Life Liquid Fund - Growth,402.92100,INF209K01RU9,N/A,N/A
119101,DSP Gilt Fund - Direct Plan - IDCW,12.29510,INF740K01NG1INF740K01NI7,N/A,N/A
120411,JM Liquid Fund (Direct) - Daily IDCW,10.43020,INF192K01CH6,N/A,N/A
120268,LIC MF Large Cap Fund-Direct Plan-IDCW,37.48250,INF767K01EI9INF767K01EK5,N/A,N/A
100286,Kotak Equity Hybrid - Payout of Income Distribution cum capital withdrawal option,34.92600,INF174K01450INF174K01443,N/A,N/A
134865,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Half-Yearly)-Regular Plan-IDCW Reinvestment,34.79390,INF767K01998,N/A,N/A
,,N/A,,N/A,N/A
134957,JM Large Cap Fund (Direct) - Half Yearly IDCW ,70.70150,INF192K01JR0INF192K01JZ3,N/A,N/A
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),653.85690,INF209K01ME4,N/A,N/A
,,N/A,,N/A,N/A
134871,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Yearly)-Regular Plan-IDCW Reinvestment,34.79390,INF767K01AG1,N/A,N/A
100233,JM Liquid Fund (Regular) - Weekly IDCW,11.00560,INF192K01841INF192K01858,N/A,N/A
